,DESCRIÇÃO PARCEIRO,SUB-CATEGORIA,CATEGORIA
1556,PANQUEQUEIRA ROCHEDO VITALLE,FRIGIDEIRA,UTENSÍLIOS DE INOX/ALUMÍNIO
1557,"IOG LIQ DANONE 170G, VIT FRUTAS",LÍQUIDO,IOGURTE
1558,SAND AD HAVAIANAS SLIM ANIMALS 35/36 FERRUGEM,SANDÁLIA,CALÇADO ADULTO
1559,BALA DURA DORI LUA CHEIA FRUTAS 150G,BALAS - DURAS,BOMBONIERE
1560,"CAFE MELITTA CAPS 50G, STACCATO",CÁPSULA EXPRESSO,CAFÉ
1561,ASSADEIRA IMP REV CER QD SIL CZ CB00837,ASSADEIRA,UTENSÍLIOS DE INOX/ALUMÍNIO
1562,"BATATA MCCAIN PALITO TRAD 1,5KG",BATATA,VEGETAL CONGELADO
1563,MILHO PIPOCA JUREIA PCT 400G,MILHO PIPOCA ,GRÃOS/CEREAIS
1564,IOGURTE NESTLE NESTON FRUTAS 170G,TRADICIONAL,IOGURTE
1565,MABO DOFU CHUUKARA 162G,MISTURAS,FARINÁCEO
1566,KELLDRIN KELLTHINE AP ELET C/4 PAST,AEROSOL AÇÃO TOTAL,INSETICIDA
1567,CAFE ALMOF VO ROSA ESPECIAL 250G,ALMOFADA TRADICIONAL,CAFÉ
1568,BOMBONIERI MISTRAL MARACANA G,TAÇAS,UTENSÍLIOS DE VIDRO
1569,SOMBRA VULT MA 01 BL UNITARIA,SOMBRA,MAQUIAGEM
1570,PEIX CONG TILAPIA COPACOL FILE 400G,FILÉ DE TILÁPIA,PEIXE CONGELADO
1571,TRINCHA MUNDO FACIL 1 1/2,TRINCHA,FERRAMENTA
1572,ASSADEIRA RETANGULAR ALUMAX HOTEL 5,ASSADEIRA,UTENSÍLIOS DE INOX/ALUMÍNIO
1573,BACON MANTA kg REZENDE PECA,BACON,PERTENCES FEIJOADA
1574,RAP BALATO PURA 600g,SALGADINHOS EXTRUSADOS,SALGADINHO E APERITIVO
1575,MIST SORVETE YOKI COCO 150G,MISTURAS,FARINÁCEO
1576,BALA SUSPENSE COCO PCT 150G,BALAS - MASTIGÁVEIS,BOMBONIERE
1577,FRALDINHA BOVINA MATURATTA KG,FRALDINHA,BOVINO RESFRIADO
1578,ACHOC STA AMALIA SACHE 300G,ACHOCOLATADO,MODIFICADOR DE LEITE
1579,TAMARINDO BDJ 200G,TAMARINDO,FRUTAS
1580,SEMENTES FELTRIN 400/500/600/700/900G CENOURA BRASÍLIA,SEMENTES,JARDINAGEM PLANTAR
1581,LUGAR AMERICANO TRANCADO YAZI MARROM,JOGO AMERICANO,MESA
1582,MARSHMALLOW FINI 250G-PC ALVORADA,MARSHMELLOW,BOMBONIERE
1583,MOTO D-MAXX 19X35X13.5,VEÍCULOS,BRINQUEDOS MENINOS
1584,SANDALIA HAVAIANAS POWER MAR/BCO 37/38,SANDÁLIA,CALÇADO ADULTO
1585,IOG DESN Z/LAC SABOR&VIDA 150G IOGURTE,DESNATADO E ZERO LACTOSE,IOGURTE
1586,CURATIVO SALVELOX SORTIDO 35UN TRANSPARENTE,CURATIVO,CURATIVO
1587,PRESERV PRUDENCE CORES/SABORES MELANCIA C/3UN,AROMATIZADO,PRESERVATIVO
1588,CHA MISTO DR OETKER DOCES SONHOS 22.5G,MISTO,CHÁ
1589,QUADRO PORTA ROLHAS VINHO 44X54 MALBEC,VINHO TINTO,VINHO
1590,SANDALIA IPANEMA HAPPY BC/PT 39X40,SANDÁLIA,CALÇADO ADULTO
1591,BATOM LIQ LATIKA LIP MATTE 35 4ML,BATOM MATTE,MAQUIAGEM
1592,MASSA ARROZ S/GLUTEN CASARAO 200G FUSILI PREMIUM,MACARRÃO DE ARROZ,MASSA SECA
1593,"IOG POLPA VIGOR LV8 PG7, VIT",POLPA,IOGURTE
1594,"PETIT SUISSE BATAVINHO 360G, CHOC",PETIT SUISSE,IOGURTE
1595,"ATUM COQUEIRO PED, OLEO 170G",ATUM SÓLIDO ÓLEO,PEIXE EM CONSERVA
1596,POLVILHO DOCE YOKI 1KG,POLVILHO DOCE,FARINÁCEO
1597,CERV.SALZBURG 350ML PURO MALTE .,PURO MALTE,CERVEJA
1598,"LAVA ROUPA PO OMO MULTI ACAO ENERGY 1,8KG",ALTA PERFORMANCE,LAVA ROUPA PÓ
1599,ARROZ RISO VIGNOLA ORIGINA MINESTRE 1KG,CULINÁRIA ITALIANA,ARROZ
1600,BALA MASTIG AZEDINHA MORANGO 600G-PC,BALAS - MASTIGÁVEIS,BOMBONIERE
1601,VINHO SALTON INTENSO ROSE GFA 750ML,VINHO TINTO,VINHO
1602,PAPINHA ORG NESTLE NATURNES 120G-VD UVA/BANANA,PAPINHAS DOCES,NUTRIÇÃO INFANTIL
1603,SALG DELICITOS 50G PIMENTA,SALGADINHO DE TRIGO,SALGADINHO E APERITIVO
1604,REQUEIJAO CREM.LIMIILK LIGHT 200G,CREMOSO,REQUEIJÃO
1605,MAC GALO SEMOLADO 500GR PADRE NOSSO,MASSA SÊMOLA,MASSA SECA
1606,IOG LIQ MATILAT 800G F VERM GFA,LÍQUIDO,IOGURTE
1607,BOLO SHOPPING PAES&CIA 500G FORMIGUEIRO,FORMIGUEIRO,BOLOS
1608,8 GRAOS 500g MEU BIJU AVEIA,MISTURAS,FARINÁCEO
1609,BISC CREAM CRACKER LIANE MANTEIGA 400G,CREAM CRACKER,BISCOITO
1610,FILTRO AR WEGA FAP4054,FILTRO DE AR,AUTOMOTIVO FILTROS
1611,VINAGRE MACA SENHOR VICCINO 0%ACUC 500ML,VINAGRE SABORIZADO,VINAGRE
1612,"SAND HAVAIANAS SLIM RET, 35/36, MAR/VERM",SANDÁLIA,CALÇADO ADULTO
1613,SANDALIA HAVAIANA COLOR MIX AREIA D 41/42,SANDÁLIA,CALÇADO ADULTO
1614,TEMP PO EMPORIO TEMPEROS CARNES 30G,TEMPERO PRONTO,TEMPERO
1615,COND OX PROTEINS RECOST PROF 240ML,TRADICIONAL,CONDICIONADOR
1616,SEC CAB BRITANIA PT AC 2000W 220V BSC04P,SECADOR CABELO,CUIDADOS PESSOAIS
1617,BALANCA BRITANIA BE3,BALANÇA,CUIDADOS PESSOAIS
1618,GEL FIX SUMMER LOOK FORTE/INCOLOR 220G,FIXADOR,FIXADOR DE CABELO
1619,CREME DE LEITE COTOCHES 200GR TP .,TRADICIONAL,CREME DE LEITE
1620,KIT SH+COND SEDA S O S CRES FORT 350ML,KIT SHAMPOO E CONDICIONADOR,KIT CABELOS ADULTOS
1621,DESINF PINHO SOL CITRUS LARANJA 500ML,PINHO,DESINFETANTE
1622,CIGARRO ROTHMANS RED MACO PCT C/10,CIGARRO,CIGARRO
1623,CASA KM LIMPA VIDROS REF 500ml,TRADICIONAL,LIMPA VIDROS
1624,CIGARRO SAMPOERNA BOX C/10 CRAVO,CIGARRO,CIGARRO
1625,SAB BAR SENSUS SUAVE CHAMPAN/PESSEGO 150G,SUAVE,SABONETE BARRA
1626,SUSHI MAKI 100G CAMARAO/QUEIJO,SUSHI,COMIDA ORIENTAL
1627,SAB BAR BIOCREMA FOR MEN MARINE 90G,HIDRATANTE,SABONETE BARRA
1628,SUCO SUVALAN 100% LARAN/MANGA/MACA 200ML,REGULAR,SUCO PRONTO/NECTAR
1629,PANO PIA ALVEJAO DOZA 30X30CM,PANO DE PIA,PANOS/FLANELAS
1630,ESPONJA TININDO SALVA-UNHAS UND,MULTIUSO,ESPONJA SINTÉTICA
1631,BISC TAPIOCA FHOM COBERTURA CHOC 15G,AO LEITE,BISCOITO
1632,CERVEJA BUDWEISER LN 330ML,ESPECIAIS,CERVEJA
1633,BISC RECH VISCONTI RECH CHOC MOR 140G,RECHEADO,BISCOITO
1634,COLCHA FIRST ACASA R KING RS 1901,COLCHA,CAMA
1635,BALA DROPS PAST ICEKISS EX FORTE 756G-DY C21,BALAS - DROPS E PASTILHA,BOMBONIERE
1636,KIT CASTING+CR PENT RT5 QUIMICA CAST ESC 300,PERMANENTE CASTANHO,COLORAÇÃO FEMININA
1637,CR DENT CREME CLOSE UP EX-WHITE 90G LV12/PG8UN,CREME DENTAL BRANQUEADOR,CREME/GEL DENTAL ADULTO
1638,LAVA ROUPA PO UFE 500G-CX COCO,BÁSICO,LAVA ROUPA PÓ
1639,COLORAU JOFIR PCT 200G,COLORIFICO,CONDIMENTO NATURAL
1640,BISC RECH TRIUNFO CHOC 120G,RECHEADO,BISCOITO
1641,BATOM ELKE N230 ROSA BABALU FPS 15,BATOM,MAQUIAGEM
1642,SANDALIA HAVAIANAS KIDS MAX BCO 23/24,SANDÁLIA,CALÇADO INFANTIL
1643,PENEIRA TRAMONTINA UTILITA 9CM 25680101,PENEIRA,UTENSÍLIOS DE INOX/ALUMÍNIO
1644,PAO DE PANES 500G CAST PARA/QUINOA,SOVADO,PÃES
1645,SORVETE H2LIFE 150ML S/LACT S/ACUC DOCE LEITE C/AM,POTE TRADICIONAL,SORVETE
1646,PAO DOCE FERRADURA kg (CG) .,DOCE,PÃES
1647,LANCHEIRA MAXTOY 3D MAGIC UNICORN,LANCHEIRA,MATERIAL ESCOLAR
1648,VINHO CHILENO C.Y TORO 750ML RES CABERNET SAUVI GRAN,VINHO CHILENO,VINHO
1649,CHOC MUNZ SUICO PRALINE BR 100G,CHOCOLATE BARRA,BOMBONIERE
1650,"SALG APER CASTANHAS ROYALE CAJU MEL 40G,",CASTANHA,SALGADINHO E APERITIVO
1651,ESSENCIA NOGUEIRA AUT CAMPESTRE 80G,ESSÊNCIA,PURIFICADOR DE AR
1652,SAND INF HAVAIANAS BABY HEROIS 19 VERMELHO,SANDÁLIA,CALÇADO INFANTIL
1653,"ALIM P GATOS BEATY PET 500G, MIX",SECO,ALIMENTO PARA GATOS
1654,LO HID CORPO NIVEA BODY 200ML-FR AVEIA/T-TIPOS,HIDRATAÇÃO,HIDRATAÇÃO PARA O CORPO
1655,POTE HOOP 500ml COZA 10153/3482,POTES,UTENSÍLIOS DE PLÁSTICO
1656,BARRA PROT ESSENTIAL CAC+NIB+CHOC BR 70G,PROTEICA,BARRA DE CEREAL
1657,COLHER DESC PLASUTIL,COLHER,UTENSÍLIOS DE PLÁSTICO
1658,ALHO TRITURADO SABORAI 200GR .,ALHO TRITURADO,CONDIMENTO NATURAL
1659,TINT TONALZ SALON-L LIGHT COLOR 45G CAST CLARO 5.0,TONALIZANTE CASTANHO,COLORAÇÃO FEMININA
1660,FILE SALMAO COSTA SUL C/PEL POR PCT 500G,FILÉ DE SALMÃO,PEIXE RESFRIADO
1661,VINHO RESERVA DOS CLIENTES 750ML TTO,VINHO TINTO,VINHO
1662,CHOC JAVA 25G CACAU 54% DIET,CHOCOLATE DIET,BOMBONIERE
1663,AMARANTO FLOCOS MAE TERRA 150G,AMARANTO,SAUDÁVEL
1664,COBERTURA NESTLE BLEND 1KG,AO LEITE,COBERTURA
1665,VINHO ITALIANO PRIMITIVO DI MANDURIA 750ML,VINHO ITALIANO,VINHO
1666,CERV BRAHMA EXTRA LAGER LT 473ML,PILSEN,CERVEJA
1667,COLEIRA HAPPY AU TRIANG AZ/CZ N2,COLEIRA,ACESSÓRIOS PET
1668,TOALHA ROSTO SANTISTA PRATA CORAL,TOALHA DE ROSTO,BANHO
1669,PULV GUARANY 370ML EXPORT 4 LUXO,GATILHO TRADICIONAL,BOMBONIERE
1670,VINHO ITALIANO FRASCATI SAN MARCO BC 750MLL,VINHO ITALIANO,VINHO
1671,CAFE SOLUVEL UTAM 50G,SOLÚVEL TRADICIONAL,CAFÉ
1672,PALETA MUSCULO BOV C/OSSO FRIBOI KG,PALETA,BOVINO RESFRIADO
1673,CHOC HAVANNA 90G-TA AO LEITE,CHOCOLATE TABLETE,BOMBONIERE
1674,FRALDA T MONICA VESTE FAC M C/40,INTERMEDIÁRIA M,FRALDA INFANTIL
1675,DES AERO AXE APOLLO 152ML,AEROSOL COM PERFUME,DESODORANTE MASCULINO
1676,CHOC LIBEERT EQUADOR 71% CACAU 100G,CHOCOLATE 70% CACAU,BOMBONIERE
1677,ESM COLORAMA ARTISTICA PRAT.METALICO 8ML,ESMALTE,ESMALTE
1678,MILHO PIPOCA ORGANICO KORIN 500G,MILHO PIPOCA ,GRÃOS/CEREAIS
1679,CHICLETE DISPLAY POOSH TUTTI FRUTTI 200G,CHICLETE TUTTI FRUTTI,BOMBONIERE
1680,LIMP PERF VEJA FLORES E SONHO 500ML,PERFUMADO,LIMPADOR MULTIUSO
1681,"IOG LIQ VIGOR 1260G, MOR",LÍQUIDO,IOGURTE
1682,ABOBRINHA MENINA RIO DE UNA ORG 600GR,ABOBRINHA,LEGUMES
1683,BEEF BURGUER FRIBOI BOV C/QJO 120G,BOVINO,BOVINO RESFRIADO
1684,COLA PO P/PAPEL DE PAREDE PLAVITEC 50G,COLA,ARTIGOS PARA FESTAS
1685,QUEIJO CRUZILIA ESTEPE FRACIONADO KG,ESTEPE,QUEIJO
1686,PAO CHARLOTTE VOLLGUT BROT PCT 450G,OUTROS,PÃES
1687,IOG NAT DANONE 170G-CP LAR/CEN/MEL,NATURAL,IOGURTE
1688,SAND INF HAVAIANAS KIDS SLIM PPG 35/36 AZUL,SANDÁLIA,CALÇADO INFANTIL
1689,PASCOA OVO NESTLE SURPRESA CARROS 150G,OVO DE PÁSCOA,OVO DE PÁSCOA
1690,DESINF BIOBRILHO EUCALIPTUS 2L,DILUÍDO,DESINFETANTE
1691,CERVEJA AMSTEL LAGER GFA C/12X600ML,LAGER,CERVEJA
1692,CEREJA MARRASQ 125G CURICO,CEREJA,FRUTAS
1693,MULTIPROC PHILCO MASTER 8X1 PT/I 800 220,MULTIPROCESSADOR,PROCESSADOR DE ALIMENTOS
1694,CANUDO IMP ACASA A CIRCUS YRZFG190,CANUDO,ARTIGOS PARA FESTAS
1695,ESSENCIA NAT MARINA 140ML-FR EUCALIPTO,ESSÊNCIA,PURIFICADOR DE AR
1696,REPELENTE CITROVERAS CRAVO 500ML,SPRAY,REPELENTES
1697,PANETONE VILLAGE BEM CASADO 550G,CHOCOLATE,PANETONE
1698,ENFEITE NATAL ACASA BONECO NEV BC/DR 325,ENFEITES DE ÁRVORE DE NATAL,ENFEITES DE NATAL
1699,JOGO DE FACAS INOX 3 PEÇAS PREMIUM TRAMONTINA,CONJUNTO DE FACA,UTENSÍLIOS DE INOX/ALUMÍNIO
1700,HIDRAT OL CORPO PAIXAO INSPIRADORA ONLY YOU 200ML,HIDRATAÇÃO,HIDRATAÇÃO PARA O CORPO
1701,FLUTUADOR BESTWAY QUIMICO CHEMICAL 58209,LIMPEZA DE PISCINA,PRAIA/PISCINA
1702,BISC FALEIRO 200GR POLVILHO,BISCOITO POLVILHO SALGADO,SALGADINHO E APERITIVO
1703,INSETICIDA AP PROINSET PAST 8 HORAS + 4 PAST GTS,REFIL PASTILHA,INSETICIDA
1704,REFRIG SPRITE LT C/6X220ML,LIMÃO,REFRIGERANTES
1705,CR PENTEAR PANTENE RESTAURACAO 250ML/240G,RESTAURADOR,CREME DE PENTEAR
1706,RESISTENCIA HYDRA P/SPOT 6800W 220V,RESISTÊNCIA,HIDRÁULICA
1707,ESC DENT DES COLGATE 360 ULTRA COMPACTA MACIA,ESCOVA DENTAL DESEMPENHO,ESCOVA DENTAL ADULTO
1708,PALHA ACO ASSOLAN N2,PALHA DE AÇO,ESPONJA DE AÇO
1709,"AGUA MIN ACQUA VITA S/GAS 1,5ML",COM GÁS,ÁGUA MINERAL
1710,PASCOA OVO KINDER MAXI MENINO T1 150G,OVO DE PÁSCOA,OVO DE PÁSCOA
1711,SUCO PTO IZZY UVA 1L,REGULAR,SUCO PRONTO/NECTAR
1712,GRELHA NIQUELART 75X51 CABO MAD .,GRELHA,CHURRASCO
1713,VISCONTI COOKIES 60G ORIG,COOKIE,BISCOITO
1714,BATATA PALHA D MINAS 500GR .,BATATA PALHA,SALGADINHO E APERITIVO
1715,BISC PREM ZE PEREIRA 230G TRAD,RECHEADO,BISCOITO
1716,PORTA RETRATO UMBRA C/PORTA OBJ BC 165,PORTA RETRATO,PORTA RETRATO
1717,CHOC LOOV CHOCOLIFE 25G BRANCO,CHOCOLATE BARRA,BOMBONIERE
1718,BISC MAE TERRA ZOORETA MORANGO PCT 110G,COCO,BISCOITO
1719,FLOR NAT KALANCHOE DOBRADO PT-11 1UN,KALANCHOE,"PLANTAS, FLORES E ACESSÓRIOS"
1720,DES ROLL MONANGE ACQUA KIT 60ML LV3 PG2,ROLL ON COM PERFUME,DESODORANTE FEMININO
1721,SAND (f) HAVAIANAS TREND 43/44 MARIN/BCO,SANDÁLIA,CALÇADO ADULTO
1722,PALMITO ACAI CAPRI INTEIRO 300G,INTEIRO,PALMITO
1723,COSTELA JANELA BOV PESO,COSTELA,BOVINO RESFRIADO
1724,PH FD SOFTYS NEUTRO 12UN-PC,FOLHA DUPLA,PAPEL HIGIÊNICO
1725,ARROZ KINORR CREM ABOBORA C/ERVAS 180G,TIPO 1,ARROZ
1726,PALMITO ROYAL ORG PALMS INT 180G,INTEIRO,PALMITO
1727,SAB BAR SENSUS SUAVE CHAPANH/PESSEGO 90G,SUAVE,SABONETE BARRA
1728,GUARNICAO P/PANELA CLOCK 7L R2783,ACESÓRIOS PANELA,MANUTENÇÃO COZINHA
1729,EDREDOM ACASA BICOLOR CASAL D CZ/AZ,EDREDOM,CAMA
1730,FARINHA TRIGO ANCHIETA 1kg TRAD .,FARINHA DE TRIGO,FARINÁCEO
1731,CADERNO TILIBRA SPIDER MAN BROCH 1/4 96F,CADERNO,MATERIAL ESCOLAR
1732,DOCE LEITE SAO LOURENCO 700G CHOC/MOR,DOCE DE LEITE,DOCE PASTA
1733,TAPETE KAPAZI LAR DOCE LAR 40X60,TAPETES,CAPACHOS E TAPETES
1734,KIT MENTOS STICK 38G C/3 MINT,BALAS - DROPS E PASTILHA,BOMBONIERE
1735,PIRULITO DORI YOGURTE RECH BALA MASTIG MOR 525G,BALAS - MASTIGÁVEIS,BOMBONIERE
1736,UNIAO/BICO NEDO F 3/4 X 1/2 287 .,UNIÃO PARA TORNEIRA,HIDRÁULICA
1737,CAPA ALMOFADA IMP ACASA B 45X45 BC 285,CAPA DE ALMOFADA,ALMOFADAS
1738,SLIM LIXEIRA BASCULANTE 15L VME SR62/5 SANREMO,LIXEIRA,LIXEIRA
1739,DES SPRAY AVANCO URBAN 85ML,SPRAY COM PERFUME,DESODORANTE MASCULINO
1740,FORMINHA LAM KIREY P/DOCES N.6 PINK C/100,FORMINHA,ARTIGOS PARA FESTAS
1741,ALIM P CAES COBY 7KG,SECO,ALIMENTO PARA CÃES
1742,CERV TRES LOBOS IPA LN 355ML,ARTESANAIS,CERVEJA
1743,BARRA CEREAL TRIO L4P3 CASTANHA 80G,REGULAR,BARRA DE CEREAL
1744,BISC WAFF AYMORE CHOC PC 115G,WAFFER,BISCOITO
1745,LENÇOL SANTISTA LINHA ROYAL AVULSO BRANCO QUEEN,LENCOL AVULSO,CAMA
1746,DES AERO NIVEA ANGEL STAR ICY KISS 100ML,AEROSOL COM PERFUME,DESODORANTE MASCULINO
1747,SHAMPOO GRAND PRIX LAVA AUTO EXPRESS 12 500ML,LAVA AUTO COM CERA,AUTOMOTIVO LIMPEZA
1748,GELEIA DE JABUT RES DE MINAS 240G,GELEIA TRADICIONAL,GELÉIA
1749,COND SALON-LINE T-DCACHO DESMAIA CACHOS 200ML,CACHOS,CONDICIONADOR
1750,DOCE PACOCA SANTA HELENA EMBALADA C 3,PAÇOCA,DOCE TABLETE
1751,CADERNO MAXIMA 96FLS CD LOUSE,CADERNO,MATERIAL ESCOLAR
1752,SAND INF NEW BABY PETS RS/CORAL 22,SANDÁLIA,CALÇADO ADULTO
1753,CAFE BAGGIO GOURMET BOURBON PCT 250G,ALMOFADA TRADICIONAL,CAFÉ
1754,ÁGUA TÔNICA ANTARCTICA 275ML GENGIBRE,ÁGUA TÔNICA,REFRIGERANTES
1755,REMOVEDOR KING PLUS LAVANDA 500ML,TRADICIONAL,REMOVEDOR
1756,PULVERIZADOR PLASTICO 580ML,PULVERIZADOR,JARDINAGEM CUIDAR
1757,CONDIC INF BIOTROPIC FADAS 500ML,TRADICIONAL,CONDICIONADOR INFANTIL
1758,CABIDE SANREMO MULTI PLAST 6U,CABIDE,ACESSÓRIOS DE LAVANDERIA
1759,AGUA MIN CAXAMBU C/GAS 500ML,SEM GÁS,ÁGUA MINERAL
1760,FILE DE MERLUZA SO PEIXE LEG 800 .,FILÉ DE MERLUZA,PEIXE RESFRIADO
1761,BARRA NUTS PINATI CAF/CANELA S/G C/2 50G,REGULAR,BARRA DE CEREAL
1762,FARINHA 5kg BUNGE PRE MESCLA LARANJA,LARANJA,FARINÁCEO
1763,AMERICANO IMP PVC MAD KXSX156023,JOGO AMERICANO,MESA
1764,PROT ALWAYS SUAVE LV80 PG60,EXTERNO PROTETOR DIÁRIO,ABSORVENTE
1765,NOZ MOSCADA CIA ERVAS EM PO 23G,NOZ MOSCADA,CONDIMENTO NATURAL
1766,CAFE SALOMAO ESPECIAL TORRADO 250G,ALMOFADA TRADICIONAL,CAFÉ
1767,SABONETEIRA UMBRA B FLEX GEL LOC BC 3660,SABONETEIRA,SABONETEIRA
1768,LIXA DE PLASTICO PARA CALCANHAR -DAI,LIXA UNHA,ACESSÓRIOS MÃO E PÉ
1769,RESISTENCIA HYDRA P/SLIM 4T 5500W 220V,RESISTÊNCIA,HIDRÁULICA
1770,T NATUCOR PO 24G 3.0 CACAU,PERMANENTE VERMELHO,COLORAÇÃO FEMININA
1771,FRIGIDEIRA MTA N22 SUPRA TVT,FRIGIDEIRA,UTENSÍLIOS DE INOX/ALUMÍNIO
1772,SORVETE GELLAK 2L-PT COCO BCO,POTE TRADICIONAL,SORVETE
1773,TV LG 65 OLED UHD 4K SM OLED65C8P,4K,TELEVISÃO
1774,VINHO FRAN DOMAINE D ESTIENNE 750ML COTEAUX ROSE,VINHO TINTO,VINHO
1775,ESC BELLIZ MAD PREM COLOR CERC 27 RF481,ESCOVA PARA CABELO,ACESSÓRIOS PARA CABELO
1776,DESINFETANTE 1L BRILHANTE LIMAO,DILUÍDO,DESINFETANTE
1777,SAND RIDER STRIKE AD 39/40 PTO/BCO,SANDÁLIA,CALÇADO ADULTO
1778,"ORGANIZADOR SANREMO TOP STOCK 2,38L",CAIXA ORGANIZADORA,ORGANIZADOR
1779,CHOC NESTLE 90G-TA ALPINO NEVADO,CHOCOLATE BARRA,BOMBONIERE
1780,CHA MAT MATTE LEAO SOLUVEL 50G,MATE,CHÁ
1781,SAB BAR DOVE FLOR PEONIA 4X90G+PR ESP,HIDRATANTE,SABONETE BARRA
1782,TERRA VEG TERRAL 5KG-PC,TERRA,JARDINAGEM PLANTAR
1783,CARRINHO DIDATICO NA SOLAPA 151 BS TOYS,VEÍCULOS,BRINQUEDOS MENINOS
1784,ALHO FRITO SABORAI 90GR .,ALHO FRITO,CONDIMENTO NATURAL
1785,COCADA RESERVA M 210G ZERO ACUCAR .,CREMOSA,COCADA
1786,TEMP BR SPICES 40G FIT SALADA POTE,TEMPERO PRONTO ESPECIAL,TEMPERO
1787,BATATA PALHA BSB FINA 120g,BATATA PALHA,SALGADINHO E APERITIVO
1788,FAR TRIGO BUNGE P/PIZZA E SALGADOS 5KG,FARINHA DE TRIGO,FARINÁCEO
1789,CHICLE MENTOS PURE WHITE MENTA 10G,CHICLETE MENTA,BOMBONIERE
1790,GOMA MASCAR TRIDENT FRUIT MIX MAR/AMO 8G,CHICLETE OUTROS SABORES,BOMBONIERE
1791,DOCE LEITE CARACU LEITE AMEIXA 680G,DOCE DE LEITE,DOCE PASTA
1792,AMORA BERRY GOLD KG,AMORA,FRUTAS
1793,SUCO INTEG GOES UVA NATURAL GF 1L,INTEGRAL,SUCO NATURAL
1794,SALAME MAJESTADE kg TIPO ITAL FAT,ITALIANO,SALAME
1795,COLHER DE BAMBU 1 -DAISO,COLHER,UTENSÍLIOS DE PLÁSTICO
1796,AGRIAO BEIJA-FLOR UN,AGRIÃO,VERDURAS
1797,SOQUETE S/CHAVE NEDO UN,SOQUETE,FERRAMENTA
1798,PURIF AR AERO BOM AR AQUA 345ML,ELIMINADOR DE ODOR,PURIFICADOR DE AR
1799,AMAC ROUPA CONC DOWNY PASSION 500ML,CONCENTRADO,AMACIANTE
1800,PAO DE QUEIJO MASSA LEVE 1KG,TRADICIONAL,PÃO DE QUEIJO
1801,SAND AD HAVAIANAS SLIM BRASIL 37/38 PRETO,SANDÁLIA,CALÇADO ADULTO
1802,RODO PLAST GRAN RIO 30CM R0466,RODO CHÃO,LIMPEZA
1803,TRAVESSA ACASA MELAM RET M BC E35520,TRAVESSA,UTENSÍLIOS DE MELAMINA
1804,MAIONESE PRIMOR 500G,TRADICIONAL,MAIONESE
1805,TOUCA P/ BANHO GASPAR,TOUCA BANHO,ACESSÓRIOS DE BANHO
1806,CHA MORANGO REAL C/10 SAQ,FRUTAS,CHÁ
1807,ADOC PO ADOCYL ASPARTAME C 50,ASPARTAME,ADOÇANTE
1808,SAB FLORES E VEG LIQ 310ML MORANGO,BÁSICO,SABONETE LÍQUIDO
1809,VINHO BRIO CANTENAC BROWN 2012 GFA 750ML,VINHO TINTO,VINHO
1810,PERFUME GABRIELA SABATINI HAPPY LIF 60ML,PERFUMES,PERFUMAÇÃO
1811,LIMPADOR MARINA M USO 500ML TRADICIONAL,TRADICIONAL,LIMPADOR MULTIUSO
1812,"VELA ANIV INDIPEL TRAVESSA, AZ N.6",VELA,ARTIGOS PARA FESTAS
1813,FRONHA ALTENBURG UNIQUE 180 FIOS 50X70,FRONHA ,CAMA
1814,JG TOALHA BUDDEMEYER E DUAL RIB 2PCS RS,TOALHA,BANHO
1815,BISC SERRANO AMANT CANELA KG,AMANTEIGADO,BISCOITO
1816,LINGUICA PERDIGAO kg CALABRESA VAC,CALABRESA,LINGUIÇA
1817,ARROZ PRATO RICO TP1 5KG,TIPO 1,ARROZ
1818,PISTA BÁSICA HOT WHEELS KING DRIFT MATTEL,VEÍCULOS,BRINQUEDOS MENINOS
1819,MOLHO SALADA HELLMANNS 475ML-PET CAESAR,QUEIJO,MOLHO PARA SALADA
1820,CARRINHO NEW CAR BS TOYS BRANCO,VEÍCULOS,BRINQUEDOS MENINOS
1821,TOM SECO PORT CARM 220G-VD,TOMATE,FRUTA SECA
1822,AZEITONA VERDE RIVOLI RECH QUEIJO VD 120G,VERDE FATIADA/RECHEADA,AZEITONA
1823,LOCAO CAP BUTERFLY 240ML,COMPLEXO/TÔNICO,TRANSFORMAÇÃO CABELOS
1824,INGREDIENTE FEIJOADA SAO LUIZ KG,BACON,PERTENCES FEIJOADA
1825,SORVETE PALETITAS ZERO NAPOLITANO 1LT,POTE TRADICIONAL,SORVETE
1826,"EDREDOM SOLT SANTISTA FANTASIA, ACQUA",EDREDOM,CAMA
1827,VINHO BARAO DE VILAR 750ML PORTO TAWNY,VINHO DO PORTO,VINHO
1828,LIMP COZ SUP-GLOBO 500ML- SQZ,PERFUMADO,LIMPADOR MULTIUSO
1829,POTE CLIC ROSCA PLASUTIL 720ML,POTES,UTENSÍLIOS DE PLÁSTICO
1830,ARROZ SOLITO PREMIUM 1KG TP1,TIPO 1,ARROZ
1831,POTE RETANGULAR 560ml VITRIZI BOROSILICATO,POTES,UTENSÍLIOS DE PLÁSTICO
1832,PROT SOL CORPO NIVEA SUN LIGHT FEELING FPS30 125ML,FPS 30,PROTETOR SOLAR CORPORAL
1833,KIT COLCHA MATEL QUEEN 200F AZ 348-3,COLCHA,CAMA
1834,ESCOVA CONDOR LAVAR 1121,LIMPEZA,ESCOVAS
1835,DES AERO GREENWOOD S/PERF 120G,AEROSOL COM PERFUME,DESODORANTE UNISSEX
