DESCRIÇÃO PARCEIRO,SUB-CATEGORIA,CATEGORIA,DEPARTAMENTO
IOG ZERO LAC NO 170G- INTEG,ZERO LACTOSE,IOGURTE,IOGURTES
JG COLHER P/CAFE TRAMONTINA 6P 66999510,CONJUNTO DE COLHERES,UTENSÍLIOS DE INOX/ALUMÍNIO,UTILIDADES DE COZINHA
SABAO PEDRA RAZZO GLIC.LIMAO (VD) 5X200G,GLICERINADO,SABÃO EM BARRA,CUIDADOS COM A ROUPA
QUEIJO COLONIAL HERCULES FRACAO kg,OUTROS ESPECIAIS,QUEIJO,FRIOS
LENCOL FABRIL ANESSY CAS C/ELAST ALGODAO,LENCOL AVULSO,CAMA,"CAMA, MESA E BANHO"
VINHO URUGUAIO 750ml CASTEL PUJOL ALTOS CAB SUAVIG,VINHO URUGUAIO,VINHO,BEBIDAS ALCOÓLICAS
ESMALTE VULT 5FREE MOLETOM 8ML,ESMALTE,ESMALTE,CUIDADOS COM MÃOS E PÉS
8 IN 1 OSSOS STICKS PALITINHO CARNE,PETISCOS,ALIMENTO PARA CÃES,PET SHOP
VINHO MONTE ZOVO BARD CHIARETT GFA 750ML,VINHO TINTO,VINHO,BEBIDAS ALCOÓLICAS
ACUCAR COCO LONGEVID 150G,ESPECIAIS,AÇÚCAR,MERCEARIA DOCE
CHISPE SALGADO A VACUO KG,CHIPS,SAUDÁVEL,MERCEARIA DOCE
"GELEIA QUEENSBERRY MOR 100% FR 250G,",GELEIA PREMIUM,GELÉIA,MERCEARIA DOCE
CHA PRONTO ESTILO 1L-TP BX CALORIA HIBISCO/FRAMB,FRUTAS,CHÁ PRONTO,BEBIDAS NÃO ALCOÓLICAS
"VINHO NACIONAL CAMPO LARGO ROSADO SV. 4,6L",VINHO NACIONAL,VINHO,BEBIDAS ALCOÓLICAS
MOLHO PIMENTA BRUT JOKOIA 150ML,TRADICIONAL,MOLHO DE PIMENTA,MERCEARIA SALGADA
JG ENFEITE NATAL IMP 2PCS YWBO22347,ENFEITES DE ÁRVORE DE NATAL,ENFEITES DE NATAL,DECORAÇÃO
ARROZ EXTREMO SUL 1KG,TIPO 1,ARROZ,MERCEARIA SALGADA
CAIXA ORG ARTHI C/TP 16L VD 8283,CAIXA ORGANIZADORA,ORGANIZADOR,LAVANDERIA
VINHO JEAN B GEVREY CHAMBERTIN GFA 750ML,VINHO TINTO,VINHO,BEBIDAS ALCOÓLICAS
FAROFA PRONTA KININO 400GR MILHO TEMPERADA,FAROFA PRONTA,FARINÁCEO,MERCEARIA DOCE
CHINELO ACASA N AZ 37X38 0216,CHINELO,CALÇADO ADULTO,CALÇADO
SACO P/LIXO KISACO 15LI,SACO DE LIXO,SACOS,DESCARTÁVEIS
CHOC CANDY BAR PRESTIGIO DARK 33G,CHOCOLATE CANDY BAR,BOMBONIERE,MERCEARIA DOCE
ARROZ PARBO CAMIL SAQ 1KG,PARBOILIZADO,ARROZ,MERCEARIA SALGADA
BISC ADRIA PLUS LIFE CEREAL BIT 60G CACAU/CASTANHA,RECHEADO,BISCOITO,MERCEARIA DOCE
PRATO FUNDO SAND BIONA 22CM,PRATO,UTENSÍLIOS DE PORCELANA/CERÂMICA,UTILIDADES DE COZINHA
TACA VINHO NADIR PAULISTA 200ML,TAÇAS,UTENSÍLIOS DE VIDRO,UTILIDADES DE COZINHA
HIDRAT LOC CORPO NIVEA HAPPY TIME 400ML,HIDRATAÇÃO,HIDRATAÇÃO PARA O CORPO,CUIDADOS COM O CORPO
SANDALIA HAVAIANAS KIDS TOP MARIE ROSA BALLET 31/32,SANDÁLIA,CALÇADO INFANTIL,CALÇADO
FILE PEIXE SAO LUIZ KG MOLHO LIMAO SICIL,FILÉ,PEIXE RESFRIADO,PEIXARIA
FRUTOS DA TERRA FLOCOS DE AVEIA GROSSA 500g,FARINHA DE AVEIA,FARINÁCEO,MERCEARIA DOCE
ESM VULT CREMOSO 5FREE BEIJO QUENTE 8ML,ESMALTE,ESMALTE,CUIDADOS COM MÃOS E PÉS
MICANGA DR OETKER BRIGADEIRO PCT 80G,CONFEITO CHOCOLATE,CONFEITOS,MERCEARIA DOCE
DOCE REZENDA 650g,OUTROS DOCES PASTA,DOCE PASTA,MERCEARIA DOCE
"POTE PLAST UZ PREMIUM 2,5L",POTES,UTENSÍLIOS DE PLÁSTICO,UTILIDADES DE COZINHA
DESINF CLEAN PLUS FLORAL 5L,DILUÍDO,DESINFETANTE,CUIDADOS COM O BANHEIRO
"IOG NAT INT VIGOR 170G, LAR CEN , INT MAMAO",NATURAL INTEGRAL,IOGURTE,IOGURTES
SAPONACEO YPE 300ml,CREMOSO,SAPONÁCEO,CUIDADOS COM A COZINHA
STEAK SADIA 100G FRANGO,STEAK DE FRANGO,EMPANADO,CONGELADOS SALGADOS
DEPILAT CERA VEET QUENTE 400G C/ESPAT.,CERA QUENTE,DEPILATÓRIO FEMININO,CUIDADOS COM O CORPO
BOWL VIRA 310ml VITRIZI,BOWL,UTENSÍLIOS DE PORCELANA/CERÂMICA,UTILIDADES DE COZINHA
BICARBONATO DE SODIO ISHASHI 50G,BICARBONATO,CONDIMENTO NATURAL,MERCEARIA SALGADA
BALA BARKLEYS 50G WINTERGREEN,BALAS - DROPS E PASTILHA,BOMBONIERE,MERCEARIA DOCE
COPO IMP ACASA A C/TP SILIC LJ 05T,COPO,UTENSÍLIOS DE VIDRO,UTILIDADES DE COZINHA
INSET AERO MAT INSET CITR 450ML GT150ML,AEROSOL INSETOS,INSETICIDA,CUIDADOS COM A CASA
ESC DENT DES COLGATE TOTAL 12 PROF.CLEAN 2CD. 100G,ESCOVA DENTAL DESEMPENHO,ESCOVA DENTAL ADULTO,HIGIENE ORAL
CELULAR SAMSUNG GALAXY A7 64GB PT,TELEFONIA MOVEL,TELEFONIA,ELETRO
LIMP BRILHOLAC C/ALCOOL FLORAL 1L,COM ÁLCOOL,LIMPADOR MULTIUSO,CUIDADOS COM A CASA
CJ FRIGIDEIRA/ESPATULA 3PCS MULTIFON,CONJUNTO DE FRIGIDEIRA,UTENSÍLIOS DE INOX/ALUMÍNIO,UTILIDADES DE COZINHA
ASSADEIRA QUAD SEMPRE NADIR 1.5L,ASSADEIRA,UTENSÍLIOS DE VIDRO,UTILIDADES DE COZINHA
FILTRO DE ÓLEO LUBRIFICANTE - MANN-FILTER - W712/22 ,FILTRO DE ÓLEO,AUTOMOTIVO FILTROS,AUTOMOTIVO
VINHO FRANCES CAVE TURCK PINOT BLC 750ML,VINHO FRANCÊS,VINHO,BEBIDAS ALCOÓLICAS
GRAO DE BICO KODILAR 500GR,GRÃO DE BICO,GRÃOS/CEREAIS,PRATOS PRONTOS
SHA SEDUCTION RECONSTRUCAO TOTAL 450ML,RECONSTRUTOR,SHAMPOO,CUIDADOS COM O CABELO
LEITE AURORA SEMI DESNATADO 1L,SEMI DESNATADO,LEITE UHT,LEITE
BONECA BABI DU .,BONECAS/BONECOS,BRINQUEDOS MENINAS,BRINQUEDO
AVEIA CAMPO VERDE FLOCOS FINOS 500G,FLOCO FINO,AVEIA,MERCEARIA DOCE
SH PRIME HAIR 1MIN 270ML HIDRAT,HIDRATAÇÃO,SHAMPOO,CUIDADOS COM O CABELO
LIMP M USO POLITRIZ TQ 500ML,TRADICIONAL,LIMPADOR MULTIUSO,CUIDADOS COM A CASA
PEGADOR MIMO SALADAS (INOX),PEGADOR,UTENSÍLIOS DE INOX/ALUMÍNIO,UTILIDADES DE COZINHA
OLEO GERGELIN CRU NATURAL LIFE 250ML,ÓLEO DE GERGELIM,COMIDA ORIENTAL,MERCEARIA SALGADA
FRONHA SERENA C/2 PEROLA,FRONHA ,CAMA,"CAMA, MESA E BANHO"
FLOCAO MILHO SIAMAR 500G,FARINHA DE MILHO,FARINÁCEO,MERCEARIA DOCE
MAC ISABELA 500G BOM GOSTO MAC,COM OVOS,MASSA SECA,MERCEARIA SALGADA
BROCOLIS FLORETES DAUCY CONG 300G,BRÓCOLIS,VEGETAL CONGELADO,CONGELADOS SALGADOS
MAC TODESCHINI C OVOS 500G CARACOL,COM OVOS,MASSA SECA,MERCEARIA SALGADA
SACO FACIL 20cmX34cm,SACO PARA FREEZER,SACOS,DESCARTÁVEIS
LEITE LONGA VIDA ITALAC DESNATADO 1L,DESNATADO,LEITE UHT,LEITE
QUEIJO MINAS DURO 0 kg .,OUTROS ESPECIAIS,QUEIJO,FRIOS
FITA MICROPOROSA CREMER 1.2CMX4.5M,FITA MICROPOROSA,CURATIVO,DESCARTÁVEIS
BUCHA VEGETAL BEMARIUS EM PED C/2 UNIDS,BUCHA VEGETAL,ACESSÓRIOS DE BANHO,CUIDADOS COM O CORPO
JG SERVIR TRAMONTINA CRISTAL 2P 64550100,DIVERSOS,UTENSÍLIOS DE VIDRO,UTILIDADES DE COZINHA
ALHO PROCES FRITO 80G,ALHO OUTROS,CONDIMENTO NATURAL,MERCEARIA SALGADA
PORTA TALHER ACASA MAD E 20.8X14.2X21.1,PORTA TALHER,UTENSÍLIOS DE MADEIRA,UTILIDADES DE COZINHA
LIMPADOR MULTIUSO 5L SOFT CLEAN,TRADICIONAL,LIMPADOR MULTIUSO,CUIDADOS COM A CASA
PAPEL HIG FANCY 24X30M FOLHA DUP NEUTRO,FOLHA DUPLA,PAPEL HIGIÊNICO,HIGIENE PESSOAL
CALDO MAGGI 126G BACON,TABLET BACON,CALDO,MERCEARIA SALGADA
ALFACE LISA MIL GREEN 250G,ALFACE,VERDURAS,HORTIFRUTI
AZEITE (E)LA ESPANOLA 500ML LT EXTRA VIRGEM,EXTRA VIRGEM,AZEITE,MERCEARIA SALGADA
QUEIJO EMMENTAL kg BASEL,EMMENTAL,QUEIJO,FRIOS
CR TRAT AUSSIE MOIST 3 MIN 236ML,TRADICIONAL,CREME PARA TRATAMENTO,CUIDADOS COM O CABELO
QUEIJO PRATO FAT.DAVACA KG,PRATO,QUEIJO,FRIOS
"BOLINHO VISCONTI DUO 27G, CENOURA",CENOURA,BOLOS,MERCEARIA DOCE
KIT ELSEVE CONTRO SHAMP 400ML+COND 200ML,KIT SHAMPOO E CONDICIONADOR,KIT CABELOS ADULTOS,CUIDADOS COM O CABELO
COBER SORVETE INGREDIENT MARSHMALL 190G,SORVETE,COBERTURA,MERCEARIA DOCE
BRINQ CORDA C/BOLA P/CAO(BELOCA) R8004,BRINQUEDO,ACESSÓRIOS PET,PET SHOP
CHA CHINATOWN 10G JASMIM,ERVAS,CHÁ,MERCEARIA DOCE
PORTA RETRATO IMP METAL R P BC 1631162N,PORTA RETRATO,PORTA RETRATO,DECORAÇÃO
REFRIG AGUA TONICA VERMONT NAT PET 310ML,ÁGUA TÔNICA,REFRIGERANTES,BEBIDAS NÃO ALCOÓLICAS
BALA DURA SASSE ENERGETIC 900G-PC,BALAS - DURAS,BOMBONIERE,MERCEARIA DOCE
LUBRIF 15W40 MOBIL SUPER API SN 1L,ÓLEO LUBRIFICANTE,AUTOMOTIVO ÓLEOS/ADITIVOS/FLUIDOS,AUTOMOTIVO
MESA PASSAR ROUPA IMP 18344,TÁBUA DE PASSAR ROUPA,ACESSÓRIOS DE LAVANDERIA,LAVANDERIA
CAPSULA CAFE .BR ROMANTICO 50G C/10,CÁPSULA TRADICIONAL,CAFÉ,MERCEARIA DOCE
BALA GELAT DOCILE 180G-DY CANUDINHO SOUR MOR,BALAS - GELATINA,BOMBONIERE,MERCEARIA DOCE
"CAMINHAO FRICCAO, EXTREME SUPER TRUCK",VEÍCULOS,BRINQUEDOS MENINOS,BRINQUEDO
CALDO KITANO CARNE 45G,TABLET CARNE,CALDO,MERCEARIA SALGADA
CARRINHO BABY,BEBÊ,BRINQUEDOS UNISEX,BRINQUEDO
"BOLO MINI BAUDUCCO DUO 30G, CHOC",CHOCOLATE,BOLOS,MERCEARIA DOCE
TACA OU CHAMPANHE VITRA TC500VM,TAÇAS,UTENSÍLIOS DE PLÁSTICO,UTILIDADES DE COZINHA
ESCOVA MASCULINA MARCO BONI,ESCOVA PARA CABELO,ACESSÓRIOS PARA CABELO,CUIDADOS COM O CABELO
UNHA IMPRESS AUTOCOLANTE LISA MD070,UNHA POSTIÇA,ESMALTE,CUIDADOS COM MÃOS E PÉS
SORVETE SKIMONI CLASSICOS 1.8L FLOCOS,POTE TRADICIONAL,SORVETE,CONGELADOS DOCES
ESM ELKE 4EVER FRIEN N74 7ML,ESMALTE,ESMALTE,CUIDADOS COM MÃOS E PÉS
AZEITE EXT VIRG PREM OLIVEIR RAMOS 500ML,EXTRA VIRGEM,AZEITE,MERCEARIA SALGADA
VINHO PORTUGUES 750ml CORTES DE CIMA DOIS TERROIS,VINHO PORTUGUÊS,VINHO,BEBIDAS ALCOÓLICAS
BISC RENATA 112GR DIVERTIX RECHEADO CHOCOLATE,RECHEADO,BISCOITO,MERCEARIA DOCE
GEL FIXADOR STUDIO LINE INVISIFX 150G,FIXADOR,FIXADOR DE CABELO,CUIDADOS COM O CABELO
VINHO BARAO DE VILAR 750ML DOURO BCO,VINHO BRANCO,VINHO,BEBIDAS ALCOÓLICAS
MOLHO PIMENTA VRM MARATELLI 900ML- PET,TRADICIONAL,MOLHO DE PIMENTA,MERCEARIA SALGADA
FRU CALDA PESSEGO ESTRELA DO ORIENTE PREMIUM 480G,PÊSSEGO,FRUTA EM CALDA,MERCEARIA DOCE
LAP.ENERGIZE PRETA PL105-A EM -DAISO,LAPISEIRA,MATERIAL ESCOLAR,PAPELARIA
FORNO MICR PANASONIC 28L EMB NN-GB686SRU,EMBUTIR,MICROONDAS,ELETRO
GELATINA SOL 25GR FRAMBOESA,REGULAR FRAMBOESA,GELATINA,MERCEARIA DOCE
FRALDA HUGGIES SUPR MENINAS G C/64,ALTA PERFORMANCE G,FRALDA INFANTIL,HIGIENE PESSOAL INFANTIL
LIXA PE MARCHETTI DP FACE BLISTER,LIXA PÉS,ACESSÓRIOS MÃO E PÉ,CUIDADOS COM MÃOS E PÉS
PINO FEMEA TELEFONE USEUTIL,PINO,ELÉTRICA,MANUTENÇÃO
PANELA PRESSAO PANEX POLIDA DBD2 7L,PANELA DE PRESSÃO,UTENSÍLIOS DE INOX/ALUMÍNIO,UTILIDADES DE COZINHA
MANJERICAO MARGAO VD 11G,MANJERICÃO,CONDIMENTO NATURAL,MERCEARIA SALGADA
BALA DROPS PAST MENTOS MINI TUTTI FRUTTI 10G-UN,BALAS - DROPS E PASTILHA,BOMBONIERE,MERCEARIA DOCE
ABOBORA MENINA kg,ABÓBORA,LEGUMES,HORTIFRUTI
BALA DROPS PAST ICEKISS MOR 290G-DY C10,BALAS - DROPS E PASTILHA,BOMBONIERE,MERCEARIA DOCE
LIMPADOR MULTIUSO LV3 PG2 CIF ANTIBAC,ANTI-BACTERIANO,LIMPADOR MULTIUSO,CUIDADOS COM A CASA
SOBREMESA NESTLE FLAN CARAMELO 400G,SOBREMESA,IOGURTE,IOGURTES
CACHEPO ACASA B C/BASE 15CM BC 1152-1812,CACHEPÔ,VASOS,DECORAÇÃO
MANDIOQUINHA HORTMIX BDJ 250G,MANDIOQUINHA,LEGUMES,HORTIFRUTI
TOALHA BANHO ACASA E 17055-21,TOALHA,BANHO,"CAMA, MESA E BANHO"
GANCHOS SHOCK C/4UN,GANCHO,GANCHO,DECORAÇÃO
CADERNO WINNER CD 96FLS ESP CARTOGRAFIA GIRLS,CADERNO DESENHO/CARTOGRAFIA,MATERIAL ESCOLAR,PAPELARIA
JG CAMA ACASA B QUEEN PERCAL RD 200F BG,JOGO DE CAMA,CAMA,"CAMA, MESA E BANHO"
SNACKS VITAO S/GLUT QUEIJO PCT 60G,SNACK SEM GLÚTEN,SAUDÁVEL,MERCEARIA DOCE
BETERRABA AMAR ORG CAPELA 600G-BJ,BETERRABA ORGÂNICA,LEGUMES,HORTIFRUTI
PEDRA SANITAVIA 20g LIPEX C/REDE PROTETORA CARTELA,PEDRA,LIMPEZA SANITÁRIA,CUIDADOS COM O BANHEIRO
PALMITO HEMMER 300G-VD ACAI INT,INTEIRO,PALMITO,MERCEARIA SALGADA
TEMP KODILAR TEMP FACIL 60G PIMENTA,TEMPERO PRONTO,TEMPERO,MERCEARIA SALGADA
SANDALIA HAVAIANAS KIDS SLIM FASHION BCO/MARINHO 35/36,SANDÁLIA,CALÇADO INFANTIL,CALÇADO
BANANA PASSA C/COB CHOCO BCO CX 84G WEG,BANANA,FRUTA SECA,EMPÓRIO
CERVEJA GOLDEN LAGER PURO MALTE PROIBIDA LATA,PURO MALTE,CERVEJA,BEBIDAS ALCOÓLICAS
FRALDA MAMYPOKO REG PQ C/28UN,INTERMEDIÁRIA P,FRALDA INFANTIL,HIGIENE PESSOAL INFANTIL
CERVEJA OGRE BEER JACU QUADRADO 310ML,STRONG,CERVEJA,BEBIDAS ALCOÓLICAS
CREME DE CEBOLA KININO 65GR .,SOPA CREMOSA CEBOLA,SOPA,MERCEARIA SALGADA
PAO COCO SL ESPEC 500G,DOCE,PÃES,PADARIA
IOG DON DON LIG 900g,TRADICIONAL,IOGURTE,IOGURTES
"POLPA FRUTAS BRASFRUT 100G, MAMAO",MAMÃO,POLPA DE FRUTA,CONGELADOS DOCES
REQUEIJAO BANDEIRA 400G CREMOSO .,CREMOSO,REQUEIJÃO,GORDUROSOS
"ODORIZ PEDRA BIOLIMP 1UN, FLORAL",ELIMINADOR DE ODOR,PURIFICADOR DE AR,CUIDADOS COM A CASA
DEPILAT FOL DEPI ROLL LENCOS BRANCO C/20,FOLHA DEPILAR CORPO,DEPILATÓRIO FEMININO,CUIDADOS COM O CORPO
SALGADINHO FANDANGOS PRESUNTO 280G-PC,SALGADINHOS EXTRUSADOS,SALGADINHO E APERITIVO,MERCEARIA DOCE
ANTHURIUM RED SUCESSO P09,ANTÚRIO,"PLANTAS, FLORES E ACESSÓRIOS",JARDINAGEM
CESTA ORG IMP G NAT C/ALCA EST QY14313,CESTA ORGANIZADORA,ORGANIZADOR,LAVANDERIA
MASC CAPILAR SEDUCTION RECONSTRUCAO TOTAL 500G,MÁSCARA CAPILAR,CREME PARA TRATAMENTO,CUIDADOS COM O CABELO
SAB BAR INF JOHNSONS 80G 4UN/PG3UN REG,BÁSICO,SABONETE BARRA INFANTIL,HIGIENE PESSOAL INFANTIL
FEIJAO BRANCO CALDAO 500G,FEIJÃO BRANCO,FEIJÃO,MERCEARIA SALGADA
MINI CENOURA MISTER RABBIT PCT 100G,CENOURA,LEGUMES,HORTIFRUTI
LIMPA PISO DESTAC SUAVE 500ML,LIMPA PISO TRADICIONAL,TRATAMENTO DE PISO,CUIDADOS COM A CASA
SUCO ORG NATIVE TROPICAL MARACUJA TP 200ML,REGULAR,SUCO ORGÂNICO,BEBIDAS NÃO ALCOÓLICAS
"BEB LACTEA CAROL VERY GURT 150G, MOR",BEBIDA LÁCTEA,IOGURTE,IOGURTES
FORMA SILICONE EURO 6 MINI BOLO DECORADA CINZA,FORMA,UTENSÍLIOS DE SILICONE,UTILIDADES DE COZINHA
FRIGIDEIRA ALUMAX HOTEL 36,FRIGIDEIRA,UTENSÍLIOS DE INOX/ALUMÍNIO,UTILIDADES DE COZINHA
CABIDE INFANTIL SEMPRE UTIL,CABIDE,ACESSÓRIOS DE LAVANDERIA,LAVANDERIA
MASSA FR LASANHA MEZZANI 500G,MASSA LASANHA,MASSA FRESCA,MASSAS FRESCAS
BISC VICENZI BOCCONCINI CACAU 65G,SABORIZADO,BISCOITO,MERCEARIA DOCE
JG CAMA CORTTEX CASAL AT 2.20X2.40 JD BO,JOGO DE CAMA,CAMA,"CAMA, MESA E BANHO"
VINHO CHILENO PUNTAL 7SAUV BLANC 750ML,VINHO CHILENO,VINHO,BEBIDAS ALCOÓLICAS
AMAC ROUPA PROEZA BEM ESTAR 2L,TRADICIONAL,AMACIANTE,CUIDADOS COM A ROUPA
MANTEIGA NATA BRASIL 200GR C/SAL .,COM SAL,MANTEIGA,GORDUROSOS
BATOM VULT 53 3.5G,BATOM,MAQUIAGEM,CUIDADOS COM O ROSTO
SALG SALSITO 32G CEBOLA,SALGADINHOS EXTRUSADOS,SALGADINHO E APERITIVO,MERCEARIA DOCE
BISC MERBA COOKIE RECHEADO AVELA 200G,COOKIE,BISCOITO,MERCEARIA DOCE
KIT CERV BIERLAND 04 ESTILOS 600ML,KIT CERVEJA,CERVEJA,BEBIDAS ALCOÓLICAS
MIST PUDIM DR OETKER LILIFEE CHOCOLATE 90G,MISTURAS,FARINÁCEO,MERCEARIA DOCE
OSSO DUGS ROLINHO FLEX SABORES C/10,PETISCOS,ALIMENTO PARA CÃES,PET SHOP
ERVILHA MINAS MAIS LT 200G,ERVILHA,ERVILHA EM CONSERVA,MERCEARIA SALGADA
REFR PO FRISCO C VIT LIMAO 30G,LIMÃO,REFRESCO EM PÓ,BEBIDAS NÃO ALCOÓLICAS
EMPANADO FRANGO EMPANITOS 300G,STEAK DE FRANGO,EMPANADO,CONGELADOS SALGADOS
VELA VALVES GLITER N5 AZUL,VELA,ARTIGOS PARA FESTAS,DESCARTÁVEIS
LIMP USO DIRETO VEJA 900ML-SQZ FLORAL,PERFUMADO,LIMPADOR MULTIUSO,CUIDADOS COM A CASA
BALA PIETROBON FUNCHO PT 200G,BALAS - MASTIGÁVEIS,BOMBONIERE,MERCEARIA DOCE
GRAO BICO YOKI 500G,GRÃO DE BICO,GRÃOS/CEREAIS,MERCEARIA SALGADA
QUEIJO CUARTIROLO (PEDACO) CALCAR (V) KG,OUTROS ESPECIAIS,QUEIJO,FRIOS
SALG FOFURA JR 45G-PC QUEIJO,SALGADINHOS EXTRUSADOS,SALGADINHO E APERITIVO,MERCEARIA DOCE
CADERNO CD 1M 96F JANDAIA BRASILIDAD,CADERNO,MATERIAL ESCOLAR,PAPELARIA
LIMP LEIT LEITE COLONIA TRAD/VDE FR 100ML,LEITE DE COLÔNIA,LIMPEZA DO ROSTO,CUIDADOS COM O ROSTO
CADERNO CADERSIL BROCH UNIV 96FLS ACTION,CADERNO,MATERIAL ESCOLAR,PAPELARIA
SANDALIA HAVAIANAS SLIM ROMANCE AMAR 39/40,SANDÁLIA,CALÇADO ADULTO,CALÇADO
SEMENTE DE CHIA 100g REI DAS CASTANHAS,SEMENTE DE CHIA,SAUDÁVEL,MERCEARIA DOCE
TIRA MANCHA PO VANISH 900G GRATIS 100G,TIRA MANCHA PÓ,TIRA MANCHA,CUIDADOS COM A ROUPA
CHIPS BLACK CHIP 32G SAL MARINHO,CHIPS,SAUDÁVEL,MERCEARIA DOCE
CISPER COPO SIENA VITAMINA 370ml,COPO,UTENSÍLIOS DE VIDRO,UTILIDADES DE COZINHA
"BIFINHO BAW WAW 50G, CALABRESA",PETISCOS,ALIMENTO PARA CÃES,PET SHOP
GELEIA FANTASIA RELIQUIA A GRANEL kg,GELEIA TRADICIONAL,GELÉIA,MERCEARIA DOCE
BARRA CEREAL LINEA MORANGO IOGURTE 75G,DIET,BARRA DE CEREAL,MERCEARIA DOCE
SORVETE LOSLOS MINI 65G CHOC BELGA,PICOLÉ PREMIUM,SORVETE,CONGELADOS DOCES
AMAC ROUPA TUFF 2L-FR AZUL,TRADICIONAL,AMACIANTE,CUIDADOS COM A ROUPA
CHUPETA KUKA PREMIUM ORTO N.1 1UN ROSA,CHUPETA,PUERICULTURA,INFANTIL
"BOLO MINI KIM 40G, BAUNILHA CHOC",BAUNILHA,BOLOS,MERCEARIA DOCE
POLPA LAYNE 100GR MARACUJA .,MARACUJÁ,POLPA DE FRUTA,CONGELADOS DOCES
PAO CAMPESTRE 400GR INTEGRAL .,INTEGRAL,PÃES,PADARIA
SANDUICHE ATELIE POCKET SALAME 65G,SANDUICHE,LANCHE PRONTO,CONGELADOS SALGADOS
DESINF CANDURA VIOLETA 2L,DILUÍDO,DESINFETANTE,CUIDADOS COM O BANHEIRO
FACA CHURRASCO IVORY 6 CB VERM,FACA,UTENSÍLIOS DE INOX/ALUMÍNIO,UTILIDADES DE COZINHA
MOLHO MARIA PIMENTA EL DIABLO 55ML,TRADICIONAL,MOLHO DE PIMENTA,MERCEARIA SALGADA
AMEIXA ANANDA SECA S/CAROCO 250G,AMEIXA,FRUTA SECA,EMPÓRIO
VINHO CHILENO AUTORITAS SAUVIG BLANC 750ML,VINHO CHILENO,VINHO,BEBIDAS ALCOÓLICAS
ALIM CAO DOG CHOW FIL M/G PCT 10.1KG,ÚMIDO,ALIMENTO PARA CÃES,PET SHOP
RECIPIENTE DE PLASTICO COM COLHER PARA CONDIME -DAISO,PORTA MANTIMENTO,UTENSÍLIOS DE PLÁSTICO,UTILIDADES DE COZINHA
BALA MASTIG DORI DELIKET ACIDO 700G-PC,BALAS - MASTIGÁVEIS,BOMBONIERE,MERCEARIA DOCE
VINHO CHILENO URANGA 750ML SYRAH,VINHO CHILENO,VINHO,BEBIDAS ALCOÓLICAS
BEB LACTEA FERM BATAVO 180G CEREAIS,BEBIDA LÁCTEA,IOGURTE,IOGURTES
"POTE HERM LOCK&STOCK 550ML, RET",POTES,UTENSÍLIOS DE VIDRO,UTILIDADES DE COZINHA
CR DENT CREME ORAL B 3D PERFECTION 75ML,CREME DENTAL BENEFÍCIOS,CREME/GEL DENTAL ADULTO,HIGIENE ORAL
VASSOURA TERREIRO PIACAVA,VASSOURA,LIMPEZA,LAVANDERIA
TINT PERM MAXTON KIT PRATICO 3.66- 5.5 ACAJU,PERMANENTE VERMELHO,COLORAÇÃO FEMININA,CUIDADOS COM O CABELO
CERVEJA PATAGONIA BOHEIMI PILSENE LN 355ML,PILSEN,CERVEJA,BEBIDAS ALCOÓLICAS
MASSA MODELAR COMUM SORTIDA 160G,MASSA MODELAR,MATERIAL ESCOLAR,PAPELARIA
CONTRA FILE SEM FILE MIGNON C/OSSO KG,CONTRA FILÉ,BOVINO CONGELADO,AÇOUGUE
HAMB MR VEGGY VEGETARIANO 360G,VEGANO,HAMBÚRGUER,CONGELADOS SALGADOS
BATOM VULT MATTE COR 20 3.5G,BATOM MATTE,MAQUIAGEM,CUIDADOS COM O ROSTO
SUCO PTO MAGUARY LARANJA LIGHT 1L,LIGHT,SUCO PRONTO/NECTAR,BEBIDAS NÃO ALCOÓLICAS
LIQUIDIFICADOR ARNO STILE VD 220V LN77,LIQUIDIFICADOR,LIQUIDIFICADOR,ELETRO
PANO MULTIUSO FLASHLIMP MICROFIBRA 3 PCS,PANO MULTIUSO,PANOS/FLANELAS,LAVANDERIA
BATATA ASTERIX CAMPACHI 700G,BATATA,LEGUMES,HORTIFRUTI
COGUMELOS DON FIDENCIO 100GR INTEIR .,INTEIRO,COGUMELO,MERCEARIA SALGADA
KIT COLCHA MATEL KING 200F AZ 347-6,COLCHA,CAMA,"CAMA, MESA E BANHO"
MIST BOLO APTI CHOCOLATE 400G,MISTURAS,FARINÁCEO,MERCEARIA DOCE
NECTAR PREDILECTA PESSEGO 1L,REGULAR,SUCO PRONTO/NECTAR,BEBIDAS NÃO ALCOÓLICAS
MANTEIGA LASSA 500G,COM SAL,MANTEIGA,GORDUROSOS
ESTOPA PROLIMPO 200G ALVEJ P/POLIME,ESTOPA,AUTOMOTIVO ESTOPA/ ESPONJA / LUVA / PANOS,AUTOMOTIVO
VELA ANIV.REGINA ARCO IRIS 1UN,VELA,ARTIGOS PARA FESTAS,DESCARTÁVEIS
SABAO POLAR 200G COCO,BÁSICO,LAVA ROUPA PÓ,CUIDADOS COM A ROUPA
"CALABRESA RETA kg REZENDE 2,5kg",CALABRESA,LINGUIÇA,EMBUTIDOS
DESOD SANIT ZAPCLEAN ADES OCEAN C/2,ADESIVOS,LIMPEZA SANITÁRIA,CUIDADOS COM O BANHEIRO
"SALSICHA ESP PREMIUM SADIA 200G, CHIPOTLE",ESPECIAIS,SALSICHA,EMBUTIDOS
